BRK;BRKSET;SEQRUN;PLATE;RAW;XYLAN(Y/N);SEAWEED(Y/N);FERMENTED;SUBSTRATE;ANIMAL;DONOR;CONANDO;UNIQUES;PAIRTAG;SAMPID
BRK43;1;1;1;Xylan + Rapeseed;y;n;Fermented;XYL1 EP100;Human;B;HumanB;XYL1 EP100 HumanB;DUP36;s70
BRK44;1;1;1;Xylan;y;n;Unfermented;XYLC;Human;C;HumanC;XYLC HumanC;DUP37;s65
BRK45;1;1;1;Xylan + Rapeseed;y;n;Fermented;XYC EP100;Human;B;HumanB;XYC EP100 HumanB;DUP38;s118
BRK46;1;1;1;Xylan;y;n;Unfermented;XYLC;Human;A;HumanA;XYLC HumanA;DUP12;s61
BRK47;1;1;1;;;n;Unfermented;NEGATIVE;NEGATIVE;NEGATIVE;NEGATIVENEGATIVE;NEGATIVE NEGATIVENEGATIVE;DUP22;s2n
BRK48;1;1;1;;;n;Unfermented;POSITIVE;POSTIVE;POSTIVE;POSTIVEPOSTIVE;POSITIVE POSTIVEPOSTIVE;DUP23;s2p
BRK49;1;1;1;Xylan + Soybean;y;n;Fermented;XYLC EP200;Human;A;HumanA;XYLC EP200 HumanA;DUP39;s128
BRK50;1;1;1;Xylan + Rapeseed + Seaweed;y;y;Fermented;XYLC EP1199;Human;A;HumanA;XYLC EP1199 HumanA;DUP40;s122
BRK51;1;1;1;Xylan + Rapeseed;y;n;Fermented;XYC EP100;Human;C;HumanC;XYC EP100 HumanC;DUP11;s119
BRK52;1;1;1;Soybean + Seaweed;n;y;Fermented;EP2299;Human;C;HumanC;EP2299 HumanC;DUP41;s48
BRK53;1;1;1;Soybean;n;n;Fermented;EP200;Human;B;HumanB;EP200 HumanB;DUP42;s39
BRK54;1;1;1;Rapeseed + Seaweed;n;y;Unfermented;C1199;Human;A;HumanA;C1199 HumanA;DUP43;s7
BRK55;1;1;1;Xylan;y;n;Unfermented;XYL1;Human;A;HumanA;XYL1 HumanA;DUP44;s50
BRK56;1;1;1;Xylan + Rapeseed + Seaweed;y;y;Fermented;XYL2 EP1199;Human;A;HumanA;XYL2 EP1199 HumanA;DUP45;s97
BRK57;1;1;1;Xylan + Soybean;y;n;Fermented;XYL1 EP200;Human;B;HumanB;XYL1 EP200 HumanB;DUP46;s81
BRK58;1;1;1;Xylan + Rapeseed + Seaweed;y;y;Fermented;XYL1 EP1199;Human;B;HumanB;XYL1 EP1199 HumanB;DUP4;s76
BRK59;1;1;1;Xylan + Rapeseed + Seaweed;y;y;Fermented;XYL1 EP1199;Human;C;HumanC;XYL1 EP1199 HumanC;DUP8;s78
BRK60;1;1;1;Xylan + Soybean + Seaweed;y;y;Fermented;XYL1 EP2299;Human;B;HumanB;XYL1 EP2299 HumanB;DUP47;s88
BRK61;1;1;1;Xylan + Rapeseed + Seaweed;y;y;Fermented;XYL1 EP1199;Human;A;HumanA;XYL1 EP1199 HumanA;DUP35;s73
BRK62;1;1;1;Xylan + Soybean + Seaweed;y;y;Fermented;XYLC EP2299;Human;B;HumanB;XYLC EP2299 HumanB;DUP48;s135
BRK63;1;1;1;Xylan + Rapeseed + Seaweed;y;y;Fermented;XYLC EP1199;Human;B;HumanB;XYLC EP1199 HumanB;DUP49;s124
BRK64;1;1;1;Xylan + Soybean + Seaweed;y;y;Fermented;XYLC EP2299;Human;C;HumanC;XYLC EP2299 HumanC;DUP50;s138
BRK65;1;1;1;Xylan + Rapeseed;y;n;Fermented;XYC EP100;Human;B;HumanB;XYC EP100 HumanB;DUP38;s117
BRK66;1;1;1;Xylan + Soybean + Seaweed;y;y;Fermented;XYLC EP2299;Human;A;HumanA;XYLC EP2299 HumanA;DUP13;s134
BRK67;1;1;1;Xylan;y;n;Unfermented;XYLC;Human;C;HumanC;XYLC HumanC;DUP37;s66
BRK68;1;1;1;Soybean + Seaweed;n;y;Fermented;EP2299;Human;A;HumanA;EP2299 HumanA;DUP14;s49
BRK69;1;1;1;Soybean + Seaweed;n;y;Fermented;EP2299;Human;B;HumanB;EP2299 HumanB;DUP15;s46
BRK70;1;1;1;Soybean;n;n;Fermented;EP200;Human;A;HumanA;EP200 HumanA;DUP51;s37
BRK71;1;1;1;;;n;Unfermented;NEGATIVE;NEGATIVE;NEGATIVE;NEGATIVENEGATIVE;NEGATIVE NEGATIVENEGATIVE;DUP22;s3n
BRK72;1;1;1;;;n;Unfermented;POSITIVE;POSTIVE;POSTIVE;POSTIVEPOSTIVE;POSITIVE POSTIVEPOSTIVE;DUP23;s3p
BRK73;1;1;1;Soybean;n;n;Fermented;EP200;Human;A;HumanA;EP200 HumanA;DUP51;s38
BRK74;1;1;1;Rapeseed;n;y;Fermented; EP1199;Human;C;HumanC; EP1199 HumanC;DUP18;s35
BRK75;1;1;1;Rapeseed;n;y;Fermented;EP1199;Human;A;HumanA;EP1199 HumanA;DUP19;s32
BRK76;1;1;1;Rapeseed;n;n;Fermented;EP100;Human;A;HumanA;EP100 HumanA;DUP20;s25
BRK77;1;1;1;Soybean;n;y;Unfermented;C2299;Human;A;HumanA;C2299 HumanA;DUP25;s20
BRK78;1;1;1;Soybean;n;n;Unfermented;C200;Human;B;HumanB;C200 HumanB;DUP52;s15
BRK79;1;1;1;Soybean;n;n;Unfermented;C200;Human;B;HumanB;C200 HumanB;DUP52;s16
BRK80;1;1;1;Rapeseed;n;y;Unfermented;C1199;Human;C;HumanC;C1199 HumanC;DUP26;s11
BRK81;1;1;1;Rapeseed;nn;y;Unfermented;C1199;Human;A;HumanA;C1199 HumanA;DUP43;s8
